LMGTP,Toyota GT030-H Hybrid,Toyota,439,4,,94
LMGTP,Porsche 936 GTP,Porsche,443,2,,94
LMGTP,Mercedes-AMG LM05,Mercedes,444,1,,95
LMGTP,Ferrari 499P-H,Ferrari,442,2,,94
LMGTP,Glickenhaus-Ford GTP,Glickenhaus-Ford,437,5,,95
LMGTP,Peugeot 90X GTP,Peugeot,438,4,,93
LMGTP,Isotta Fraschini Tipo I GTP,Isotta Fraschini,438,5,,94
LMGTP,Venturi Ivresse III,Venturi,429,13,,93
LMGTP,Acura ARX-09,Acura,434,10,,94
LMGTP,Oreca 013 GTP,Oreca,430,12,,95
LMGTP,BMW M Hybrid V8,BMW,430,14,,93
LMGTP,Chevrolet ZX12 GTP.R,Chevrolet,427,17,,94
LMGTP,Ligier JS GTP-36,Ligier,426,16,,91
LMGTP,Alpine A824 GTP,Alpine,430,11,,92
