LMGT3,#7,Team Stellar,BMW M4 GT3 Evo II,BMW,200,,4,,29,,TRUE
LMGT3,#8,Team Stellar,BMW M4 GT3 Evo II,BMW,199,,4,,28,,TRUE
LMGT3,#13,Lamborghini Racing,Lamborghini Veragua GT3,Lamborghini,200,,5,,30,,TRUE
LMGT3,#92,Lamborghini Racing,Lamborghini Veragua GT3,Lamborghini,200,,3,,28,,TRUE
LMGT3,#47,BeAsTy Racing,Toyota LF R GT3,Toyota,199,,2,,26,,TRUE
LMGT3,#74,BeAsTy Racing,Toyota LF R GT3,Toyota,199,,3,,29,,TRUE
LMGT3,#119,Waluigi 10 Racing,Lamborghini Veragua GT3,Lamborghini,199,,3,,27,,TRUE
LMGT3,#444,Hunter Motorsports,McLaren 750S GT3 Evo II,McLaren,200,,4,,28,,TRUE
LMGT3,#888,Hunter Motorsports,McLaren 750S GT3 Evo II,McLaren,198,,2,,27,,TRUE
LMGT3,#579,Real KDY Racing,Mercedes-AMG GT36 GT3 Evo,Mercedes,199,,3,,29,,TRUE
LMGT3,#975,Real KDY Racing,Mercedes-AMG GT36 GT3 Evo,Mercedes,200,,5,,28,,TRUE
LMGT3,#606,Treaty Racing,Porsche 911 GT3 R,Porsche,197,,2,,28,,TRUE
LMGT3,#607,Treaty Racing,Porsche 911 GT3 R,Porsche,196,,3,,27,,TRUE
LMGT3,#666,Blitzo Motorsports,BMW M4 GT3 Evo II,BMW,199,,3,,26,,TRUE
LMGT3,#667,Blitzo Motorsports,BMW M4 GT3 Evo II,BMW,198,,3,,29,,TRUE
LMGT3,#841,Team SSR,V10 Vantage AMR GT3,Aston Martin,199,,3,,28,,TRUE
LMGT3,#842,Team SSR,V10 Vantage AMR GT3,Aston Martin,200,,5,,27,,TRUE
LMGT3,#43,BeAsTy Racing,Toyota LF R GT3,Toyota,197,,3,,27,,FALSE
LMGT3,#113,Lamborghini Racing,Lamborghini Veragua GT3,Lamborghini,200,,5,,28,,FALSE
LMGT3,#354,Super Corby Racing,Lamborghini Veragua GT3,Lamborghini,197,,2,,27,,FALSE
LMGT3,#668,Blitzo Motorsports,BMW M4 GT3 Evo II,BMW,200,,4,,28,,FALSE
LMGT3,#777,Hunter Motorsports,McLaren 750S GT3 Evo II,McLaren,198,,4,,28,,FALSE
