LMGTP,#4,Oneil Racing,Acura ARX-09,Acura,200,,4,,28,,TRUE
LMGTP,#23,Oneil Racing,Acura ARX-09,Acura,199,,3,,27,,TRUE
LMGTP,#5,Team Stellar,BMW M Hybrid V8,BMW,200,,4,,28,,TRUE
LMGTP,#6,Team Stellar,BMW M Hybrid V8,BMW,200,,5,,28,,TRUE
LMGTP,#66,Fifth Gear Racing,Chevrolet ZX12 GTP.R,Chevrolet,200,,5,,29,,TRUE
LMGTP,#100,98-99 Racing,Venturi Ivresse III,Venturi,197,,1,,26,,TRUE
LMGTP,#101,98-99 Racing,Venturi Ivresse III,Venturi,199,,4,,28,,TRUE
LMGTP,#351,Super Corby Racing,Ferrari 499P-H,Ferrari,197,,3,,27,,TRUE
LMGTP,#404,Hunter Motorsports,Mercedes-AMG LM05,Mercedes,197,,2,,28,,TRUE
LMGTP,#600,Venturi Racing,Venturi Ivresse III,Venturi,200,,5,,29,,TRUE
LMGTP,#601,Venturi Racing,Venturi Ivresse III,Venturi,200,,4,,29,,TRUE
LMGTP,#759,Real KDY Racing,Mercedes-AMG LM05,Mercedes,199,,4,,29,,TRUE
LMGTP,#957,Real KDY Racing,Mercedes-AMG LM05,Mercedes,200,,4,,29,,TRUE
LMGTP,#90,Team Stellar,BMW M Hybrid V8,BMW,198,,3,,28,,FALSE
LMGTP,#602,Venturi Racing,Venturi Ivresse III,Venturi,198,,3,,27,,FALSE
