LMP1,#1,Project D Racing,Devastazione LM2,Project D,199,,3,,27,,True
LMP1,#868,Project D Racing,Devastazione LM2,Project D,197,,2,,26,,True
LMP1,#9,Team Stellar,Stellar Electronic LM-2,Stellar,200,,4,,29,,True
LMP1,#10,Team Stellar,Stellar Electronic LM-2,Stellar,199,,2,,28,,True
LMP1,#20,Juncos Hollinger Racing,Lamborghini Tributo,Lamborghini,200,,4,,28,,True
LMP1,#21,Juncos Hollinger Racing,Lamborghini Tributo,Lamborghini,200,,5,,28,,True
LMP1,#37,Lamborghini Racing,Lamborghini Tributo,Lamborghini,200,,5,,29,,True
LMP1,#63,Lamborghini Racing,Lamborghini Tributo,Lamborghini,200,,4,,29,,True
LMP1,#45,Andrews Racing,Dennis Rodboro-16,Andrews,197,,1,,27,,True
LMP1,#98,98-99 Racing,98-99 Project P1-2,98-99 Racing,200,,3,,28,,True
LMP1,#99,98-99 Racing,98-99 Project P1-2,98-99 Racing,200,,4,,27,,True
LMP1,#155,Alfa Romeo ASC,Alfa Romeo Tipo 264,Alfa Romeo,200,,4,,29,,True
LMP1,#156,Alfa Romeo ASC,Alfa Romeo Tipo 264,Alfa Romeo,199,,2,,29,,True
LMP1,#400,Hunter Motorsports,HUNTER X02,Hunter,198,,4,,25,,True
LMP1,#800,Hunter Motorsports,HUNTER X02,Hunter,197,,2,,24,,True
LMP1,#555,Super Corby Racing,MTS1948,Super Corby,197,,0,,23,,True
LMP1,#797,Super Corby Racing,MTS1948,Super Corby,199,,2,,27,,True
LMP1,#727,Pioneer Champions Racing,PCR LM-001,PCR,198,,3,,28,,True
LMP1,#728,Pioneer Champions Racing,PCR LM-001,PCR,197,,1,,27,,True
LMP1,#22,Juncos Hollinger Racing,Lamborghini Tributo,Lamborghini,200,,4,,28,,False
LMP1,#80,Lamborghini Racing,Lamborghini Tributo,Lamborghini,200,,5,,29,,False
LMP1,#91,Team Stellar,Stellar Electronic LM-2,Stellar,198,,4,,28,,False
LMP1,#102,98-99 Racing,98-99 Project P1-2,98-99 Racing,198,,4,,27,,False
LMP1,#154,Alfa Romeo ASC,Alfa Romeo Tipo 264,Alfa Romeo,198,,4,,29,,False
LMP1,#729,Pioneer Champions Racing,PCR LM-001,PCR,197,,2,,27,,False
LMP1,#777,Project D Racing,Devastazione LM2,Project D,197,,3,,26,,False
